Video_name,happy,angry,sad,surprise,disgust,fear,neutral,emotion_change,each_video_emotion_count,neutral_%
test_00000000.mp4,85,32,12,215,69,73,7,383,493,0.014198783
test_00000001.mp4,208,2,9,9,150,8,23,154,409,0.056234719
test_00000002.mp4,172,0,0,0,0,0,0,0,172,0
test_00000003.mp4,2,0,22,3,3,1,0,10,31,0
test_00000004.mp4,0,6,1,264,31,14,0,104,316,0
test_00000005.mp4,29,0,14,83,20,82,0,132,228,0
test_00000006.mp4,12,0,7,84,108,198,4,254,413,0.00968523
test_00000007.mp4,0,0,1,0,0,1,0,1,2,0
test_00000008.mp4,0,0,0,0,0,1,0,0,1,0
test_00000009.mp4,40,0,9,8,47,110,0,38,214,0
test_00000010.mp4,15,0,0,2,39,104,0,43,160,0
test_00000011.mp4,1,0,4,56,197,166,17,283,441,0.038548753
test_00000012.mp4,82,0,2,28,246,178,0,148,536,0
test_00000013.mp4,215,0,0,2,112,20,0,66,349,0
test_00000014.mp4,0,0,4,0,176,10,15,29,205,0.073170732
test_00000015.mp4,14,0,2,13,4,38,0,24,71,0
test_00000016.mp4,0,0,1,8,0,9,1,7,19,0.052631579
test_00000017.mp4,28,41,27,211,100,40,0,192,447,0
test_00000018.mp4,92,0,8,0,0,1,76,66,177,0.429378531
test_00000019.mp4,39,0,0,0,19,101,0,29,159,0
test_00000020.mp4,4,0,0,1,76,31,1,38,113,0.008849558
test_00000021.mp4,69,0,57,91,223,155,0,345,595,0
test_00000022.mp4,22,0,7,200,95,1,73,88,398,0.183417085
test_00000023.mp4,48,0,0,0,9,0,0,16,57,0
test_00000024.mp4,91,82,53,100,21,234,0,488,581,0
test_00000025.mp4,66,0,15,0,6,72,0,57,159,0
test_00000026.mp4,74,1,9,17,73,42,1,83,217,0.004608295
test_00000027.mp4,0,0,1,0,0,1,0,1,2,0
test_00000028.mp4,122,0,0,0,0,37,0,17,159,0
test_00000029.mp4,117,0,0,0,4,153,0,71,274,0
test_00000030.mp4,1,1,7,25,24,3,0,20,61,0
test_00000031.mp4,26,0,0,1,31,300,0,64,358,0
test_00000032.mp4,3,0,6,474,10,20,0,45,513,0
test_00000033.mp4,103,0,42,11,71,21,2,118,250,0.008
test_00000034.mp4,0,0,8,32,18,253,0,55,311,0
test_00000035.mp4,147,0,3,0,65,106,0,73,321,0
test_00000036.mp4,9,0,18,39,19,25,0,66,110,0
test_00000037.mp4,0,0,0,0,0,0,0,0,0,0
test_00000038.mp4,0,0,0,15,0,0,0,0,15,0
test_00000039.mp4,6,0,20,0,2,13,0,15,41,0
test_00000040.mp4,194,0,68,1,160,5,79,107,507,0.15581854
test_00000041.mp4,4,0,0,19,0,1,0,3,24,0
test_00000042.mp4,7,1,71,28,19,129,0,51,255,0
test_00000043.mp4,0,0,0,0,0,0,0,0,0,0
test_00000044.mp4,10,0,10,89,99,23,20,51,251,0.079681275
test_00000045.mp4,15,0,3,22,27,31,0,36,98,0
test_00000046.mp4,0,0,0,0,0,0,1,0,1,1
test_00000047.mp4,30,0,7,0,28,526,0,42,591,0
test_00000048.mp4,0,0,4,8,3,1,0,5,16,0
test_00000049.mp4,9,0,45,115,120,294,6,118,589,0.010186757
test_00000050.mp4,0,0,3,54,72,0,0,20,129,0
test_00000051.mp4,147,17,7,87,34,136,0,134,428,0
test_00000052.mp4,5,0,5,110,39,76,0,151,235,0
test_00000053.mp4,75,24,36,1,14,16,2,64,168,0.011904762
test_00000054.mp4,10,0,3,40,8,257,3,52,321,0.009345794
test_00000055.mp4,0,0,3,1,0,0,0,1,4,0
test_00000056.mp4,2,1,0,0,1,4,0,5,8,0
test_00000057.mp4,0,0,1,73,57,15,1,21,147,0.006802721
test_00000058.mp4,0,0,0,0,0,2,0,0,2,0
test_00000059.mp4,198,0,24,0,3,4,138,113,367,0.376021798
test_00000060.mp4,54,0,2,0,6,78,0,63,140,0
test_00000061.mp4,111,0,0,0,45,2,0,35,158,0
test_00000062.mp4,169,0,1,0,7,186,0,29,363,0
test_00000063.mp4,62,0,0,28,59,12,0,52,161,0
test_00000064.mp4,298,0,33,39,28,74,0,66,472,0
test_00000065.mp4,3,0,15,42,109,104,17,227,290,0.05862069
test_00000066.mp4,0,0,8,43,53,10,21,52,135,0.155555556
test_00000067.mp4,0,0,13,69,79,55,4,190,220,0.018181818
test_00000068.mp4,0,0,0,209,198,4,0,261,411,0
test_00000069.mp4,63,0,4,33,0,0,0,34,100,0
test_00000070.mp4,1,0,0,0,0,9,0,2,10,0
test_00000071.mp4,4,0,4,77,38,47,0,36,170,0
test_00000072.mp4,116,0,9,418,1,174,0,398,718,0
test_00000073.mp4,9,15,19,58,146,54,0,115,301,0
test_00000074.mp4,10,0,129,101,236,167,12,560,655,0.018320611
test_00000075.mp4,15,0,24,2,19,120,0,53,180,0
test_00000076.mp4,1,0,15,77,333,0,22,168,448,0.049107143
test_00000077.mp4,273,0,9,0,2,0,46,52,330,0.139393939
test_00000078.mp4,52,0,55,0,14,7,3,53,131,0.022900763
test_00000079.mp4,5,0,0,192,8,30,0,28,235,0
test_00000080.mp4,94,0,15,8,1,296,0,160,414,0
test_00000081.mp4,3,0,16,124,231,26,6,293,406,0.014778325
test_00000082.mp4,195,0,92,665,43,43,28,653,1066,0.026266417
test_00000083.mp4,0,0,0,14,8,0,1,7,23,0.043478261
test_00000084.mp4,16,0,222,75,15,61,11,159,400,0.0275
test_00000085.mp4,2,0,6,70,10,49,0,51,137,0
test_00000086.mp4,28,0,0,0,0,1,0,2,29,0
test_00000087.mp4,79,0,46,165,92,155,0,231,537,0
test_00000088.mp4,2,0,82,0,169,264,0,422,517,0
test_00000089.mp4,0,0,0,76,23,2,5,19,106,0.047169811
test_00000090.mp4,204,0,0,4,82,142,0,105,432,0
test_00000091.mp4,33,0,14,0,0,14,0,19,61,0
test_00000092.mp4,242,0,1,52,49,1,1,91,346,0.002890173
test_00000093.mp4,20,9,0,29,0,5,0,19,63,0
test_00000094.mp4,20,0,48,96,99,27,31,170,321,0.096573209
test_00000095.mp4,16,0,58,23,29,26,1,58,153,0.006535948
test_00000096.mp4,70,54,6,122,20,77,0,102,349,0
test_00000097.mp4,0,0,3,2,15,94,0,13,114,0
test_00000098.mp4,48,0,34,196,225,10,1,436,514,0.001945525
test_00000099.mp4,12,0,4,207,49,28,1,55,301,0.003322259
test_00000100.mp4,157,0,41,32,0,10,0,79,240,0
test_00000101.mp4,15,27,6,691,99,23,0,309,861,0
test_00000102.mp4,184,0,40,10,5,9,15,90,263,0.057034221
test_00000103.mp4,16,1,1,39,0,2,0,8,59,0
test_00000104.mp4,43,0,28,115,139,54,5,111,384,0.013020833
test_00000105.mp4,23,3,5,70,19,299,0,117,419,0
test_00000106.mp4,4,0,2,226,83,81,0,189,396,0
test_00000107.mp4,122,54,14,138,46,41,0,267,415,0
test_00000108.mp4,8,0,17,14,61,47,0,52,147,0
test_00000109.mp4,0,0,2,1,121,243,3,192,370,0.008108108
test_00000110.mp4,38,0,4,26,119,2,81,88,270,0.3
test_00000111.mp4,210,0,46,1,8,6,72,123,343,0.209912536
test_00000112.mp4,0,0,4,2,3,4,0,9,13,0
test_00000113.mp4,0,0,11,2,29,92,0,42,134,0
test_00000114.mp4,0,0,0,23,272,10,0,18,305,0
test_00000115.mp4,19,0,26,188,3,310,0,339,546,0
test_00000116.mp4,88,13,26,14,54,61,0,109,256,0
test_00000117.mp4,187,1,5,8,57,98,10,232,366,0.027322404
test_00000118.mp4,18,0,11,23,15,3,0,33,70,0
test_00000119.mp4,17,0,0,0,0,246,0,19,263,0
test_00000120.mp4,15,0,15,252,40,33,1,128,356,0.002808989
test_00000121.mp4,21,1,20,64,57,49,0,110,212,0
test_00000122.mp4,2,1,6,1,19,185,1,51,215,0.004651163
test_00000123.mp4,1,0,3,268,12,12,0,52,296,0
test_00000124.mp4,150,0,18,10,4,16,17,71,215,0.079069767
test_00000125.mp4,5,0,10,33,12,7,1,15,68,0.014705882
test_00000126.mp4,0,0,2,14,2,20,0,23,38,0
test_00000127.mp4,25,2,106,112,100,27,0,193,372,0
test_00000128.mp4,37,0,10,0,0,196,0,54,243,0
test_00000129.mp4,43,0,21,9,162,9,7,74,251,0.027888446
test_00000130.mp4,40,0,0,66,23,0,0,39,129,0
test_00000131.mp4,39,0,0,6,14,19,3,24,81,0.037037037
test_00000132.mp4,0,0,0,0,1,0,0,0,1,0
test_00000133.mp4,1,0,0,0,0,0,0,0,1,0
test_00000134.mp4,85,0,9,182,106,17,4,154,403,0.009925558
test_00000135.mp4,145,1,19,47,87,37,2,104,338,0.00591716
test_00000136.mp4,22,0,12,1,14,124,0,59,173,0
test_00000137.mp4,18,0,104,2,49,204,1,269,378,0.002645503
test_00000138.mp4,43,0,0,16,5,1,1,12,66,0.015151515
test_00000139.mp4,0,0,19,119,10,28,2,88,178,0.011235955
test_00000140.mp4,1,0,3,3,122,28,0,40,157,0
test_00000141.mp4,251,0,0,0,6,77,0,63,334,0
test_00000142.mp4,97,0,53,0,84,26,9,124,269,0.033457249
test_00000143.mp4,126,0,7,86,61,30,2,99,312,0.006410256
test_00000144.mp4,78,3,2,113,0,152,0,165,348,0
test_00000145.mp4,53,7,9,73,29,156,1,255,328,0.00304878
test_00000146.mp4,8,4,43,51,197,119,0,352,422,0
test_00000147.mp4,4,0,5,173,25,88,0,181,295,0
test_00000148.mp4,221,0,0,0,2,0,0,4,223,0
test_00000149.mp4,0,0,0,156,23,14,0,25,193,0
test_00000150.mp4,14,0,14,19,67,15,0,67,129,0
test_00000151.mp4,253,0,3,11,52,15,0,57,334,0
test_00000152.mp4,46,0,1,0,0,193,0,25,240,0
test_00000153.mp4,33,8,2,106,278,43,0,78,470,0
test_00000154.mp4,11,0,10,18,48,47,0,59,134,0
test_00000155.mp4,56,9,15,106,270,29,0,369,485,0
test_00000156.mp4,67,5,23,275,101,78,0,279,549,0
test_00000157.mp4,0,0,3,23,9,0,0,17,35,0
test_00000158.mp4,1,11,20,278,128,50,0,301,488,0
